X,Y,OBJECTID,codigo,uf,codigo_anterior,regime,enquadramento,responsavel,latitude,longitude,corpo_hidrico,ano,contagem,media,minimo,maximo,stddev,variancia
-47.54389,-19.4859999999999,1066,PB017,MG,,lotico,2,IGAM,-19486,-47.54389,Rio Araguari,2017,4,"67,10","55,50","78,70","13,39","179,41"
-48.0775,-18.87278,1067,PB019,MG,,lotico,2,IGAM,-18.87278,-48.0775,Rio Araguari,2017,4,"91,30","91,20","91,40","0,12","0,01"
-48.5309399999999,-18.5951699999999,1068,PB021,MG,,lotico,2,IGAM,-18.59517,-48.53094,Rio Araguari,2017,4,"84,40","83,90","84,90","0,58","0,33"
-48.21167,-18.98556,1069,PB022,MG,,lotico,2,IGAM,-18.98556,-48.21167,Rio Uberabinha,2017,4,"72,55","72,40","72,70","0,17","0,03"
-48.43656,-18.7686399999999,1070,PB023,MG,,lotico,2,IGAM,-18.76864,-48.43656,Rio Uberabinha,2017,4,"60,55","56,80","64,30","4,33","18,75"
-49.19611,-18.42,1071,PB025,MG,,lotico,2,IGAM,-18.42,-49.19611,Rio Paranaíba,2017,4,"70,55","64,90","76,20","6,52","42,56"
-49.44972,-18.9417799999999,1072,PB027,MG,,lotico,2,IGAM,-18.94178,-49.44972,Rio Tijuco,2017,4,"77,20","71,20","83,20","6,93","48,00"
-49.79833,-18.93389,1073,PB029,MG,,lotico,2,IGAM,-18.93389,-49.79833,Rio da Prata (PN3),2017,4,"65,10","49,90","80,30","17,55","308,05"
-50.50328,-19.0502799999999,1074,PB031,MG,,lotico,2,IGAM,-19.05028,-50.50328,Rio Paranaíba,2017,4,"77,15","74,50","79,80","3,06","9,36"
-50.6769399999999,-19.2201699999999,1075,PB033,MG,,lotico,2,IGAM,-19.22017,-50.67694,Rio São Domingos (PN3),2017,4,"73,95","70,20","77,70","4,33","18,75"
-51.02,-19.66,1076,PB034,MG,,lotico,2,IGAM,-19.66,-51.02,Rio Paranaíba,2017,4,"87,45","82,10","92,80","6,18","38,16"
-47.1624399999999,-17.03414,1077,PB035,MG,,lotico,2,IGAM,-17.03414,-47.16244,Rio São Marcos,2017,4,"85,30","83,60","87,00","1,96","3,85"
-47.3450599999999,-17.44564,1078,PB036,MG,,lotico,2,IGAM,-17.44564,-47.34506,Ribeirão da Batalha,2017,4,"76,70","72,70","80,70","4,62","21,33"
-47.15486,-18.4154399999999,1079,PB037,MG,,lotico,2,IGAM,-18.41544,-47.15486,Rio Santo Inácio,2017,4,"51,80","46,50","57,10","6,12","37,45"
-47.40633,-18.49119,1080,PB038,MG,,lotico,2,IGAM,-18.49119,-47.40633,Rio Dourados,2017,4,"47,50","40,60","54,40","7,97","63,48"
-47.4865599999999,-18.3297499999999,1081,PB039,MG,,lotico,2,IGAM,-18.32975,-47.48656,Rio Perdizes,2017,4,"35,50","27,70","43,30","9,01","81,12"
-47.6986899999999,-18.71944,1082,PB040,MG,,lotico,2,IGAM,-18.71944,-47.69869,Rio Bagagem,2017,4,"53,90","45,70","62,10","9,47","89,65"
-48.04775,-18.76194,1083,PB041,MG,,lotico,2,IGAM,-18.76194,-48.04775,Rio Piçarrão,2017,4,"69,65","69,30","70,00","0,40","0,16"
-46.55297,-19.4658899999999,1084,PB042,MG,,lotico,2,IGAM,-19.46589,-46.55297,Rio Misericórdia,2017,4,"51,60","45,90","57,30","6,58","43,32"
-47.14908,-19.23042,1085,PB043,MG,,lotico,2,IGAM,-19.23042,-47.14908,Córrego da estação ambiental CEMIG,2017,4,"72,70","70,50","74,90","2,54","6,45"
-47.80128,-19.2375299999999,1086,PB044,MG,,lotico,2,IGAM,-19.23753,-47.80128,Rio Claro,2017,4,"69,75","64,30","75,20","6,29","39,60"
