X,Y,OBJECTID,codigo,uf,codigo_anterior,regime,enquadramento,responsavel,latitude,longitude,corpo_hidrico,Ano_1,Cont_1,Media_1,Min_1,Max_1,Stddev_1,Variance_1
-46.52547,-17.51131,1248,PTE017,MG,,lotico,2,IGAM,-17.51131,-46.52547,Rio da Prata (SF7),2017,4,67,55.4,78.6,13.3945262451993,179.413333333333
-45.93411,-17.82211,1249,PTE019,MG,,lotico,1,IGAM,-17.82211,-45.93411,Rio do Sono,2017,4,75.9,71.9,79.9,4.61880215351701,21.3333333333333
-45.7034199999999,-17.9608299999999,1250,PTE021,MG,,lotico,2,IGAM,-17.96083,-45.70342,Rio Santo Antônio (SF7),2017,4,73.9,57.8,90,18.5906786679059,345.613333333332
-46.8668299999999,-17.24031,1251,PTE023,MG,,lotico,2,IGAM,-17.24031,-46.86683,Córrego Rico,2017,4,64.2,55.4,73,10.1613647377374,103.253333333333
-46.81506,-17.03844,1252,PTE025,MG,,lotico,2,IGAM,-17.03844,-46.81506,Ribeirão São Pedro (SF7),2017,4,71.25,67.8,74.7,3.98371685740844,15.8700000000002
-46.92392,-16.33519,1253,PTE027,MG,,lotico,2,IGAM,-16.33519,-46.92392,Rio Preto (SF7),2017,4,77.9,75.5,80.3,2.77128129211004,7.67999999999908
-46.7665299999999,-17.12053,1254,PTE029,MG,,lotico,2,IGAM,-17.12053,-46.76653,Ribeirão São Pedro (SF7),2017,4,74.25,72.8,75.7,1.6743157806499,2.80333333333328
-46.39061,-16.91358,1255,PTE031,MG,,lotico,2,IGAM,-16.91358,-46.39061,Ribeirão Entre Ribeiros,2017,4,72.7,62.8,82.6,11.4315353299547,130.680000000002
-46.23939,-17.0256899999999,1256,PTE033,MG,,lotico,2,IGAM,-17.02569,-46.23939,Rio Paracatu,2017,4,79.95,77,82.9,3.40636658821868,11.6033333333326
-46.0931399999999,-17.0595299999999,1257,PTE035,MG,,lotico,2,IGAM,-17.05953,-46.09314,Rio Verde (SF7),2017,4,76.15,76.1,76.2,0.0577350269038398,0.0033333333315871
-45.4168099999999,-16.69089,1258,PTE037,MG,,lotico,1,IGAM,-16.69089,-45.41681,Ribeirão Santa Fé,2017,4,57.7,42.7,72.7,17.3205080756888,299.999999999999
-38.903446,-5.10538999999994,1259,PTU01,CE,,lentico,12,COGERH,-5.10539,-38.903446,Informação não disponível,2017,6,58.3,55.5,60.2,2.21449768570659,4.90399999999984
-44.0663099999999,-19.93875,1260,PV005,MG,,lotico,2,IGAM,-19.93875,-44.06631,Córrego do bairro Cinco,2017,2,62.9,62.9,62.9,0,0
-44.04,-19.8899999999999,1261,PV037,MG,,lotico,2,IGAM,-19.89,-44.04,Córrego Sarandi,2017,4,20.2,18.9,21.5,1.50111069989305,2.25333333333341
-44.03986,-19.88258,1262,PV065,MG,,lotico,2,IGAM,-19.88258,-44.03986,Córrego Cabral,2017,4,26.85,21.1,32.6,6.63952809568069,44.0833333333332
-44.0352799999999,-19.87864,1263,PV070,MG,,lotico,2,IGAM,-19.87864,-44.03528,Córrego Sarandi,2017,4,21.5,19.1,23.9,2.7712812921102,7.67999999999999
-44.00456,-19.8903599999999,1264,PV090,MG,,lotico,2,IGAM,-19.89036,-44.00456,Córrego Ressaca,2017,4,33.8,32.2,35.4,1.84752086140686,3.41333333333356
